Title,Reference No,OCID,Published by,Publication Date,Deadline Date,Deadline Time,Notice Type,Has Documents,Has ESPD,Abstract,Description of the procurement,Award criteria,Additional CPV code(s),Place of performance,Duration of the contract,Variants,Options,EU funds,Estimated date of publication of contract notice,Additional information,Date of dispatch of this notice,Information about Government Procurement Agreement (GPA)
Provision of Organisational Design Consultancy for NMIS,APR502591,ocds-r6ebe6-0000763197,University of Strathclyde,08/04/2024,,,01 Prior Information Notices (below GPA/OJEU threshold or call offs of any value),No,No,"The National Manufacturing Institute of Scotland is seeking a supplier who will be required to complete a full organisational design programme and implement the recommended new operating model hand in hand with the CEO and his team at NMIS.CPV: 72221000, 72221000.","NMIS is a group of industry-led manufacturing research and development facilities that work as a single innovation centre, with a network of Partners across Scotland. Together we are focused on revolutionising skills, productivity, and innovation to industrialise new products and services, attracting investment and markets to make Scotland and the wider UK a global leader in advanced manufacturing.
Since the Organisation was conceived, there have been serious geopolitical changes and a global pandemic. This has impacted the UK economy, university landscape and UK industry resulting in a cost of living and workforce crises with attrition rates and sickness rates being high across the board. This has negatively impacted productivity levels while improving, it still lags behind pre-pandemic levels, particularly in Scotland.
NMIS is seeking a supplier who will be required to complete a full organisational design programme and implement the recommended new operating model hand in hand with the CEO and his team at NMIS.
This organisational design programme will be required to assess the current NMIS operating model and support the transformation towards a new target operating model including implementation.
In its capacity as NMIS organisation design partner, the supplier will lead NMIS through workshops and exercises (number to be agreed) the output of which is for the supplier to deliver:
1)	An assessment of the current organisational design and how it is operating.  We require a clear report identifying gaps and issues arising and where things are working well. This will include data gathering through various methodologies.
2)	Provision of a clear list of strategic priorities for NMIS by leading strategy discussions and supporting the leadership team in our joint role as part of the University of Strathclyde (UoS), the High Value Manufacturing Catapult and the UK Innovation landscape.
3)	Suggest and agree the principles that will be applied to the Organisational Design programme with the NMIS Leadership team, and enable us to agree them with our senior stakeholders!
4)	Conduct a detailed and rigorous analysis of the activities that NMIS is currently undertaking, identifying any immediate changes, but primarily to support the redesign of the organisation to enable staff to be able to complete their tasks and improve their job satisfaction.
5)	 Design a Target Operating Model for NMIS, agreed with the CEO, that includes new structures, ways of working and the alignment of roles from the current to new operating model. This is to include designing and reframing the leadership team, management team and associated governance.
6)	Provision of a comprehensive plan for implementation and support through-out the implementation phase, providing advice and expertise to ensure staff disruption is minimised and the new model is successful.
Due to the nature of NMIS and its structure, experience of working with University departments, Catapults or other Research Technology is preferred. Organisations or complex public sector organisations within an innovation or research and development funding landscape.
Expertise of working with the industrial, public sector or SME community in Scotland, connected to technology sectors would be beneficial.",,72221000,"NUTS code:
UKM82",,,,,06/05/2024,Please note that this PIN has been released for market engagement purposes only. This does not mean that by noting your interest you will automatically be invited to the tender process should there be one in the future. The University reserves the right not to follow up with an open tender process and choose a different contractual arrangement that would be best suited for this requirement.,08/04/2024,"The procurement is covered by the Government Procurement Agreement:
                
        No"
Interpretative Design Brief,MAY504423,ocds-r6ebe6-0000765468,Fife Employment Access Trust,02/05/2024,10/05/2024,12:00,02 Contract Notice (below GPA/OJEU threshold or call offs of any value),Yes,No,"Implementation of interpretative design within Silverburn Flax Mill.  To enhance local people’s sense of place and their pride in Silverburn and Levenmouth through its rich and distinctive cultural and natural heritageTo reveal and reconnect local people and visitors with the story of Fife’s flax and linen industry, a significant part of local and national heritage, and the role of Silverburn Flax Mill within itCPV: 92310000, 92310000.","Delivering an interpretative design programme for Silverburn Flax Mill, to:
Enhance local people’s sense of place and their pride in Silverburn and Levenmouth through its rich and distinctive cultural and natural heritage
Reveal and reconnect local people and visitors with the story of Fife’s flax and linen industry, a significant part of local and national heritage, and the role of Silverburn Flax Mill within it
Collect, celebrate and share the stories of the skilled, innovative and inspiring people associated with Silverburn Flax Mill and Levenmouth
Tell stories and offer insights that enable people to see themselves and their community from a fresh perspective
Showcase the work of FEAT and its partners at Silverburn and in helping local people to grow skills, confidence and wellbeing
Record, share and celebrate Fife’s Gaelic heritage, as well as the richness of the languages spoken at the Flax Mill, from Scots and Polish to the unique terminology of flax milling process","Criteria below:
Quality criterion: Quality
                    / Weighting: 80
Price
                    
                      / Weighting: 
                      20",92310000,"NUTS code:
UKM72

Main site or place of performance:
Silverburn Park, Leven","Start:
                24/06/2024
End:
                13/03/2026
This contract is subject to renewal: No","Variants will be accepted:
            
              No","Options:
            
              No","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,NOTE: To register your interest in this notice and obtain any additional information please visit the Public Contracts Scotland Web Site at https://www.publiccontractsscotland.gov.uk/Search/Search_Switch.aspx?ID=765468.,02/05/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
Invercauld Estate Peatland Restoration Project  Cula Burn 2024-25_New entrants,MAY504589,ocds-r6ebe6-0000765725,Cairngorms National Park Authority,06/05/2024,30/05/2024,12:00,02 Contract Notice (below GPA/OJEU threshold or call offs of any value),Yes,No,Invercauld EstatePeatland Restoration ProjectCula Burn 2024-25CNPA New Entrant ProgrammeCPV: 45112100.,"A lack of available contractors experienced in upland peatland restoration in Scotland is a limiting factor in the amount of work that can be achieved each year. Cairngorms Peatland ACTION aims to increase local contractor capacity to deliver peatland restoration through offering opportunities for New Entrants to Peatland Restoration to learn techniques and gain experience.
This contract is a New Entrants to Peatland Restoration opportunity that is a mix of drain blocking and erosion work, however for the purposes of eligibility it is considered primarily drain blocking.",Price is not the only award criterion and all criteria are stated only in the procurement documents,,"NUTS code:
UKM62

Main site or place of performance:
Cairngorms National Park","Duration in months: 6
This contract is subject to renewal: No","Variants will be accepted:
            
              No","Options:
            
              Yes
Description of options:
any related","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,see info on site visit day,06/05/2024,"The procurement is covered by the Government Procurement Agreement:
                
        No"
PROVISION OF CYCLING SERVICES,JUN506818,ocds-r6ebe6-0000768636,Dundee City Council,06/06/2024,,,01 Prior Information Notices (below GPA/OJEU threshold or call offs of any value),No,No,"Provision of Cycling ServicesCPV: 60000000, 34430000.","Dundee City Council will invite bids for the supply of cycling services.
As part of this contract, the council is targeting the supply of a variety of specific cycling services to develop more positive attitudes towards sustainable transport choices.
This document outlines to the bidders the following four categories which are imperative requirements relating to this procurement exercise:
Category 1: Delivery of behaviour change programmes and promotions available to individuals and groups that would support everyday active travel choices.
Category 2: Working with partners including external organisations, third sector and community organisations and members of the public to play an active role in coordinating delivery of projects which support modal shift to active travel as the default choice for everyday journeys (e.g. host meetings at suitable venue).
Category 3: Offer a variety of services to the public and partners including information provision, cycling instruction and maintenance classes for all levels of ability.
Category 4: Delivery of bicycle servicing to Dundee City Council for up to ten pool bikes by Velotech qualified mechanics.
Category 5: Availability of bicycle rental services which would be available to the general public.
This contract is being undertaken to identify and award business to the most capable and appropriate supplier. The successful bidder must be able to demonstrate that they meet the criteria stated from an organisational perspective stipulated by the council within this document. The successful bidder must also be able to demonstrate a record of continuous improvement within their organisations and have the infrastructure to undertake the services.
This contract will be awarded on a sole supplier basis. However, the aspects of the services required may be sub-contracted by the Bidder. The lead Bidder will be responsible for contractual compliance for all aspects of the contract.
This initiative will be used to sustain a number of activities. We are looking for a suitable delivery partner to coordinate and deliver a range of active travel support services. These are likely to include: Dr. Bike maintenance events, outreach activities, led rides and walks, multi-modal travel advice (including promotion of bus, e-bike, walking, lift-sharing, electric vehicles and cycling).",,34430000,"NUTS code:
UKM71

Main site or place of performance:
Dundee City",,,,,28/06/2024,NOTE: To register your interest in this notice and obtain any additional information please visit the Public Contracts Scotland Web Site at https://www.publiccontractsscotland.gov.uk/Search/Search_Switch.aspx?ID=768636.,06/06/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
Dumfries & Galloway Local Employability & Skills Partnership Employability Support for Disabled Individuals,APR502745,ocds-r6ebe6-0000752006,Dumfries and Galloway Council,10/04/2024,13/05/2024,12:00,02 Contract Notice,Yes,Yes,"Dumfries and Galloway Local Employability & Skills Partnership (DGLEP) are looking to work with support organisations and training providers who can deliver a range of employability services to people of all ages who have a disability. The partnership is funded to provide and commission support for individuals who are unemployed, low skilled or who have a low-income role to support them to move towards and into learning, volunteering, training, education and/or work. There will also be support to help those who are low skilled and on low income to progress within employment. DGLEP oversees Scottish Government No One Left Behind (NOLB) and Best Start Bright Futures funding (BSBF) and UK Government Shared Prosperity Funding (SPF). The Partnership is committed to community wealth building and Fair Work.CPV: 80000000, 80000000, 80000000, 80000000, 80000000, 80000000, 80000000.","The focus of this provision is on engagement and developing detailed assessment and action plans, delivering barrier removal services which will support progression onto further pipeline stages. Services should proactively engage disabled adults or adults with support needs through, existing relationships, local networking, partnership with local stakeholders and strong accessible marketing and local communications.
Activities should include engagement, assessment, action planning and barrier removal, as well as improving each participant’s confidence, motivation, and aspiration for work.","Criteria below:
Quality criterion: Quality
                    / Weighting: 80
Price
                    
                      / Weighting: 
                      20",80000000,"NUTS code:
UKM92

Main site or place of performance:
Annandale & Eskdale and Nithsdale areas of the region covering the two travel-to-work areas (TTWAs) around Dumfries and Annan","Duration in months: 12
This contract is subject to renewal: No","Variants will be accepted:
            
              No","Options:
            
              No","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,NOTE: To register your interest in this notice and obtain any additional information please visit the Public Contracts Scotland Web Site at http://www.publiccontractsscotland.gov.uk/Search/Search_Switch.aspx?ID=762958.,10/04/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
Invitation to Tender - Shore Power Solution,APR503768,ocds-r6ebe6-0000764699,Port of Aberdeen,24/04/2024,24/05/2024,12:00,05 Contract Notice (Utilities),Yes,No,"Supply, installation, and commissioning of a shore power system for Regent Quay, North Harbour, Port of Aberdeen.CPV: 31600000, 31600000.",Contract for the supply of shore power solution will be awarded on the basis of the offer which is most technically and economically advantageous from the point of view of Port of Aberdeen.,"Criteria below:
Quality criterion: Technical
                    / Weighting: 60
Price
                    
                      / Weighting: 
                      40%",31600000,"NUTS code:
UKM50","Duration in months: 12
This contract is subject to renewal: No","Variants will be accepted:
            
              No","Options:
            
              No","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,NOTE: To register your interest in this notice and obtain any additional information please visit the Public Contracts Scotland Web Site at http://www.publiccontractsscotland.gov.uk/Search/Search_Switch.aspx?ID=764699.,24/04/2024,"The procurement is covered by the Government Procurement Agreement:
                
        No"
Space Planning and Benchmarking Consultant,APR502246,ocds-r6ebe6-0000762488,Scottish Natural Heritage,02/04/2024,07/05/2024,17:00,02 Contract Notice,Yes,Yes,"NatureScot requires to purchase AutoCAD and Designs skills to undertake a number of known tasks and also provide a Schedule of Rates framework to enable other unknown tasks to be instructed as and when over the course of the Contract.1.Update of current master drawings of office layouts – in AutoCAD and PDF.2.Measuring and benchmarking spaces from the master drawings, presented in excel spreadsheet.3.Space planning/Design Options – as and when required.CPV: 71200000.","NatureScot requires to purchase AutoCAD and Designs skills to undertake a number of known tasks and also provide a Schedule of Rates framework to enable other unknown tasks to be instructed as and when over the course of the Contract.
1.Update of current master drawings of office layouts – in AutoCAD and PDF.
2.Measuring and benchmarking spaces from the master drawings, presented in excel spreadsheet.
3.Space planning/Design Options – as and when required.
It is expected that the space planning may be operated in partnership with other public sector organisations collocated in offices, sharing services however NatureScot will be responsible for commissioning and managing the contract. NatureScot is in discussion with partners about their potential involvement and contribution in this programme of delivery. We appreciate there is limited information about potential partners to be involved within this Statement of Requirements",Price is not the only award criterion and all criteria are stated only in the procurement documents,,"NUTS code:
UKM","Duration in months: 36
This contract is subject to renewal: No","Variants will be accepted:
            
              No","Options:
            
              No","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,"Please read this contract notice carefully along side the attached SPD and Statement of Requirements. SPD, Pricing Schedule and the relevant pages of the Statement of Requirements, must be submitted via the Public Contracts Scotland portal using the secure online post-box facility. SNH Conditions of contract for the supply of goods and related services are attached. Please allow sufficient time to upload your tender. Please note this is not a fixed-price contract but involves ‘Call-Off’. UK national Threshold used in case of eventual value with full use and partner involvement reaching threshold. Naturescot offers no guarantee of a minimum/value of contract award work to be let. Tenderers must use the Pricing Schedule provided and provide as a document separate to the Quality tenderer response.",02/04/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
Two Year Multi-Lot Contracts for Groundwork and Fencing Repair Services,APR503007,ocds-r6ebe6-0000763695,Clyde Valley Housing Association Limited,12/04/2024,13/05/2024,09:00,02 Contract Notice,Yes,No,"Clyde Valley Group is procuring a Multi-Lot Contract which shall deliver Responsive Maintenance Groundwork and Fencing Repair Services throughout Lanarkshire , Glasgow and East Dunbartonshire.  The procurement aims to establish individual Contract’s for;Lot 1 – North Lanarkshire and East Dunbartonshire Properties; andLot 2 – South Lanarkshire and Glasgow Properties.Responsive Maintenance Services are currently delivered by Timetra Ltd to Clyde Valley Group as part of a single Provider Contract that encompasses Responsive Repairs, Void Property Works, Out of Hours Call Handling and Out of Hours Emergency Works as part of a single Contract.  The structure of the existing contract delivered by Timetra Ltd is changing from a single Provider contract to three separate Lots of Responsive Repairs contracts, two separate Lots of Void Property Works contracts, two separate Lots for Roofing Repairs & Minor Works, two separate Lots for Groundworks & Fencing and two separate Lots of General Builder works including damp proofing & decoration.  This ITT and procurement relates to procurement of two separate Lots contracts for Responsive Maintenance Groundwork and Fencing Repair Services during Normal Working Hours.  The contract opportunities for the other services and Lots described above are being undertaken as separate procurements to this opportunity.It is the intention of Clyde Valley Group to hold a ‘Contractors Workshop’ Event during the tender period.The Event will be free of charge and shall provide an overview of the requirements, Clyde Valley Group’s aspirations, a summary of theprocurement process and information on how to complete the tender documents and submit a bid through the Contract Notice.The ‘Contractors Workshop’ Event will be via by Zoom Video Conferencing at 14.00BST on Tuesday 30th April 2024.The ‘Contractors Workshop’ Event will also provide an in-depth review of the tender document and information Bidders need to providewith their tender.To record your interest in the Event, please email the names of your organisations delegates to alan.shanks@ada-cc.co.uk not later than12:00 noon BST on Monday 29th April 2024.CPV: 50700000, 50700000, 34928200, 34928210, 34928220, 34928320, 34928470, 45340000, 45342000, 45221210, 45232450, 45232452, 44113100, 44113000, 44113600, 44113700, 44912400, 50700000, 34928200, 34928210, 34928220, 34928320, 34928470, 44113000, 44113100, 44113600, 44113700, 44312000, 44912400, 45221210, 45221214, 45232450, 45232452, 45340000, 45342000.","Single Stage Tendering in accordance with Regulations 28 (Open Procedure) and 47 (Division of contracts into lots) of the Public
Contracts (Scotland) Regulations 2015","Criteria below:
Quality criterion: Quality
                    / Weighting: 60
Price
                    
                      / Weighting: 
                      40","50700000
34928200
34928210
34928220
34928320
34928470
45340000
45342000
45221210
45232450
45232452
44113100
44113000
44113600
44113700
44912400","NUTS code:
UKM84
UKM81

Main site or place of performance:
North Lanarkshire and East Dunbartonshire","Duration in months: 24
This contract is subject to renewal: Yes
Description of renewals:
May take up option of twelve month extensions up to a maximum of three further years (2026-2029) at an annual estimated cost of 65000 GBP excluding VAT for both Lot 1 and Lot 2 combined","Variants will be accepted:
            
              No","Options:
            
              No","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,"Tender Document D SPD (Scotland), Part IV Section C 'Technical and Professional Ability' will be scored on a pass or fail basis using the following scoring methodology;",12/04/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
High Pressure Testing Chambers,MAY504874,ocds-r6ebe6-0000766201,Robert Gordon University,09/05/2024,12/06/2024,12:00,02 Contract Notice,Yes,Yes,"The requirement is for a piece of equipment with two test proof chambers (bunkers). The equipment will be used to test components to failure, allowing short- and long-term endurance testing of pressure vessels, and high-pressure applications components under pressure conditions.CPV: 38540000, 38545000, 38900000, 38970000, 51200000, 51230000, 71631430.","The work comprises the supply, installation commissioning and product aftercare of the one dynamic high pressure leak test rig for our School of Engineering.","Criteria below:
Quality criterion: Quality
                    / Weighting: 50
Price
                    
                      / Weighting: 
                      50","38545000
38900000
38970000
51200000
51230000
71631430","NUTS code:
UKM50

Main site or place of performance:
Garthdee, Aberdeen","Duration in months: 3
This contract is subject to renewal: No","Variants will be accepted:
            
              No","Options:
            
              No","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,NOTE: To register your interest in this notice and obtain any additional information please visit the Public Contracts Scotland Web Site at http://www.publiccontractsscotland.gov.uk/Search/Search_Switch.aspx?ID=766201.,09/05/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
Provision of Steam Boiler Feedwater Treatment and Systems Management,APR503050,ocds-r6ebe6-0000760313,NHS Lanarkshire,15/04/2024,17/05/2024,17:00,02 Contract Notice,Yes,Yes,"NHS Lanarkshire Health Board, wishes to procure the provision of Steam BoilerFeedwater Treatment and Systems Management. The Board has a series of local agreements in place forsteam boiler feedwater quality management, Planned Preventative Maintenance (PPM) and Remedial Worksfor all associated feedwater equipment. The Board intends to put in place a singlecontract capturing PPM, feedwater quality management and associated remedial works.CPV: 71621000, 71600000, 42162000.","NHS Lanarkshire Health Board, wishes to procure the provision of Steam Boiler
Feedwater Treatment and Systems Management. The Board has a series of local agreements in place for
steam boiler feedwater quality management, Planned Preventative Maintenance (PPM) and Remedial Works
for all associated feedwater equipment. The Board intends to put in place a single
contract capturing PPM, feedwater quality management and associated remedial works.","Criteria below:
Quality criterion: Quality
                    / Weighting: 40
Cost criterion: Price
                    / Weighting: 60","71600000
42162000","NUTS code:
UKM8","Duration in months: 12
This contract is subject to renewal: Yes
Description of renewals:
Extension options 12+12+12+12","Variants will be accepted:
            
              No","Options:
            
              No","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,NOTE: To register your interest in this notice and obtain any additional information please visit the Public Contracts Scotland Web Site at http://www.publiccontractsscotland.gov.uk/Search/Search_Switch.aspx?ID=760313.,15/04/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
